psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10,house_q02,house_q03,house_q04,house_q05y,house_q05m,house_q06,house_q07,house_q08,house_q09,house_q10,house_q11,house_q12,house_q13,house_q14,house_q15,house_q16,house_q17,house_q18,house_q19,house_q20,house_q21,house_q22,edu_q01,edu_q02,edu_q03,edu_q04,edu_q05,edu_q06,edu_q07,edu_q08,edu_q09,edu_q10,edu_q11,edu_q12,edu_q13,edu_q14,edu_q15,edu_q16,edu_q17,edu_q18,edu_q19,edu_q20,edu_q21,edu_q22,edu_q23,edu_q24,edu_q25,edu_q26,edu_q27,edu_q28,edu_q29,edu_q30,edu_q31,edu_q32,edu_q33,edu_q34,edu_q35,edu_q36,edu_q37,edu_q38,edu_q39,edu_q40,edu_q41,edu_q42,edu_q43,edu_q44,edu_q45,edu_q46,edu_q47,edu_q48,edu_q49,edu_q50,edu_q51,edu_q52,edu_q53,edu_q54,edu_q55,edu_q56,edu_q57,edu_q58,edu_q59,edu_q60,edu_q61,edu_q62,edu_q63,edu_q64,edu_q65,edu_q66
265_8_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19811223.0,30.0,8.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,63.0,2.0,,4.0,1.0,,65.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785_3_2,0,0,0,0,1,0,0,0,0,0,2.0,2.0,19650727.0,47.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,78.0,2.0,,3.0,1.0,,80.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,,,4.0,,,2.0,,,4.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195_3_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19781023.0,33.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,57.0,2.0,,3.0,1.0,,60.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,12.0,,,2.0,,,12.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137_4_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19540208.0,58.0,7.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,,,,,2.0,,10.0,2.0,73.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85_5_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19610615.0,51.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,73.0,,2.0,,3.0,2.0,77.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209_8_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19710524.0,41.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,65.0,2.0,,2.0,1.0,,70.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195_2_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19461208.0,65.0,9.0,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,2.0,77.0,,2.0,,1.0,2.0,81.0,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63_1_3,0,0,0,0,0,1,0,0,0,0,2.0,9.0,19880429.0,24.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,48.0,2.0,,3.0,1.0,,50.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,12.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296_8_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19540902.0,58.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,89.0,,2.0,,3.0,2.0,82.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408_7_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19240101.0,88.0,8.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,80.0,,2.0,,1.0,2.0,65.0,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708_6_1,0,0,1,0,0,0,0,0,0,0,2.0,1.0,19831208.0,28.0,10.0,5.0,,,0.0,1.0,2.0,,5.0,1.0,,52.0,2.0,,5.0,1.0,,59.0,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825_5_2,0,1,0,0,0,0,0,0,0,0,2.0,2.0,19710402.0,41.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,2.0,50.0,,2.0,,2.0,2.0,51.0,,1.0,2.0,1.0,4.0,3.0,5.0,1.0,2.0,,,13.0,,,2.0,,,13.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265_4_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19510418.0,61.0,4.0,4.0,,,0.0,1.0,2.0,,3.0,2.0,75.0,,2.0,,3.0,2.0,80.0,,1.0,1.0,1.0,1.0,6.0,1.0,0.0,2.0,,,2.0,,,2.0,,,2.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370_5_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19511110.0,60.0,10.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,70.0,,2.0,,2.0,2.0,77.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457_4_2,0,0,0,0,1,0,0,0,0,0,2.0,2.0,19581030.0,53.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,2.0,72.0,,2.0,,5.0,2.0,86.0,,1.0,1.0,1.0,5.0,4.0,6.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670_6_3,0,0,0,1,0,0,0,0,0,0,1.0,4.0,19810821.0,31.0,0.0,5.0,,,0.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,4.0,,,2.0,,,4.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735_5_1,0,0,0,1,0,0,0,0,0,0,2.0,1.0,19870826.0,25.0,0.0,5.0,,,0.0,1.0,2.0,,3.0,1.0,,53.0,2.0,,3.0,1.0,,58.0,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325_4_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19670427.0,45.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,,,,,2.0,,2.0,2.0,53.0,,1.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602_6_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19390801.0,73.0,1.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,80.0,,2.0,,1.0,2.0,72.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584_8_2,0,0,0,0,0,0,1,0,0,0,2.0,2.0,19610702.0,51.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,1.0,,70.0,2.0,,2.0,1.0,,75.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316_4_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19420413.0,70.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,94.0,,2.0,,2.0,2.0,72.0,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71_2_1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,19790503.0,33.0,4.0,1.0,1.0,2.0,8.0,1.0,2.0,,2.0,1.0,,60.0,2.0,,2.0,1.0,,70.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,2.0,,,4.0,,,2.0,,,3.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188_9_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19730101.0,39.0,8.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,,,,,1.0,5.0,,,,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434_10_1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,19610908.0,51.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,70.0,2.0,,3.0,1.0,,76.0,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,2.0,,,2.0,,,2.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410_10_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19450503.0,67.0,4.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,56.0,,2.0,,2.0,2.0,67.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,,,13.0,,,2.0,,,13.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245_7_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19521031.0,59.0,10.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,83.0,,2.0,,1.0,2.0,78.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256_5_3,0,0,0,0,0,1,0,0,0,0,1.0,4.0,19710912.0,41.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429_4_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19630709.0,49.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,75.0,2.0,,2.0,2.0,72.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308_10_1,0,0,0,0,1,0,0,0,0,0,2.0,1.0,19400301.0,72.0,6.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,28.0,,2.0,,2.0,2.0,60.0,,2.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276_4_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19470723.0,65.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,66.0,,2.0,,1.0,2.0,70.0,,2.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714_12_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19610309.0,51.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,74.0,2.0,,3.0,2.0,83.0,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279_3_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19370212.0,75.0,7.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,83.0,,2.0,,1.0,2.0,74.0,,3.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130_11_2,0,0,1,0,0,0,0,0,0,0,2.0,2.0,19401004.0,71.0,11.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,2.0,60.0,,2.0,,2.0,2.0,40.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779_2_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19530820.0,59.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,56.0,,2.0,,1.0,2.0,83.0,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805_2_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19560217.0,56.0,6.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,1.0,,79.0,2.0,,1.0,2.0,64.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328_4_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19580122.0,54.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,73.0,,2.0,,2.0,1.0,,81.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524_7_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19720928.0,39.0,11.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,58.0,2.0,,3.0,1.0,,64.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,,,4.0,,,2.0,,,4.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201_7_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19480128.0,64.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,77.0,,2.0,,1.0,2.0,45.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458_5_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19501020.0,61.0,10.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,60.0,,2.0,,1.0,2.0,65.0,,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293_5_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19780902.0,34.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,56.0,2.0,,3.0,1.0,,59.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546_1_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19720330.0,40.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,1.0,,67.0,2.0,,2.0,1.0,,70.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158_6_3,0,0,0,0,1,0,0,0,0,0,2.0,4.0,19700201.0,42.0,7.0,5.0,,,0.0,1.0,1.0,1.0,,,,,2.0,,1.0,2.0,70.0,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_8_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19581111.0,53.0,10.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,86.0,,2.0,,1.0,2.0,56.0,,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41_6_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19420823.0,70.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,75.0,,2.0,,1.0,2.0,80.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767_3_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19550603.0,57.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,1.0,,94.0,2.0,,1.0,2.0,67.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597_5_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19610404.0,51.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,79.0,,2.0,,6.0,1.0,,77.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293_4_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19581203.0,53.0,9.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,71.0,,2.0,,2.0,2.0,72.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413_6_1,0,0,0,1,0,0,0,0,0,0,2.0,1.0,19820116.0,30.0,7.0,2.0,2.0,,0.0,1.0,2.0,,3.0,1.0,,50.0,2.0,,3.0,1.0,,55.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773_1_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19601016.0,51.0,11.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,80.0,,2.0,,8.0,2.0,83.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,2.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680_10_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19860202.0,26.0,7.0,1.0,1.0,1.0,0.0,1.0,2.0,,2.0,1.0,,51.0,2.0,,3.0,1.0,,59.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,,,13.0,,,2.0,,,13.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390_6_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19640827.0,48.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,77.0,2.0,,2.0,2.0,71.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787_2_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19850718.0,27.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,,,,,2.0,,3.0,2.0,58.0,,1.0,1.0,1.0,6.0,4.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350_6_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19620501.0,50.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,71.0,2.0,,2.0,1.0,,74.0,1.0,1.0,1.0,6.0,4.0,9.0,1.0,2.0,,,13.0,,,2.0,,,13.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217_3_5,0,0,0,1,0,0,0,0,0,0,2.0,4.0,19790109.0,33.0,8.0,1.0,2.0,,12.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688_6_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19760820.0,36.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,,10.0,1.0,,78.0,2.0,,10.0,2.0,70.0,,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434_9_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19500808.0,62.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,85.0,2.0,,2.0,2.0,50.0,,1.0,1.0,1.0,1.0,7.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721_6_1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,19501216.0,61.0,8.0,1.0,2.0,,0.0,1.0,2.0,,5.0,2.0,79.0,,2.0,,5.0,2.0,67.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601_4_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19690406.0,43.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,65.0,,2.0,,1.0,1.0,,80.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351_7_1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,19540723.0,58.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,62.0,,2.0,,1.0,2.0,74.0,,1.0,1.0,1.0,5.0,4.0,6.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810_2_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19540721.0,58.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,1.0,,85.0,2.0,,1.0,2.0,74.0,,2.0,2.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786_3_1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,19371128.0,74.0,9.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,75.0,,2.0,,3.0,2.0,74.0,,2.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486_2_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19640327.0,48.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,68.0,2.0,,3.0,2.0,65.0,,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,,,12.0,,,2.0,,,12.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180_2_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19671027.0,44.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,75.0,2.0,,2.0,2.0,82.0,,1.0,1.0,1.0,5.0,5.0,6.0,0.0,2.0,,,2.0,,,2.0,,,2.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289_11_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19530207.0,59.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,2.0,69.0,,2.0,,2.0,2.0,65.0,,1.0,1.0,1.0,4.0,3.0,5.0,1.0,2.0,,,13.0,,,2.0,,,13.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
